en,ca,pos,description
abort,interrompre,verb,
"accent color","color d'èmfasi",noun,
"add new",afegeix,expression,"S'omet traduir el terme ""new"""
add-on,complement,noun,
addon,complement,noun,
agentic,"agentiu, -va",adjective,https://www.termcat.cat/ca/diccionaris-en-linia/347/fitxa/NDg3Nzg3Nw%3D%3D
alignment,alineació,noun,
append,afegir,verb,
archive,arxiu,noun,
"are you sure","segur que",expression,
array,matriu,noun,
aside,anotació,noun,
asset,recurs,noun,
"At a Glance","Ara mateix",expression,"Si és el giny del tauler del WordPress."
attachment,adjunt,noun,
backorder,reserva,noun,
badge,insígnia,noun,
banner,bàner,noun,
block,blocar,verb,
block,bloc,noun,
blog,blog,noun,
border,vora,noun,
breadcrumb,"ruta de navegació",noun,
bulk,"en massa",noun,
cache,"memòria cau",noun,
callback,"crida de retorn",noun,
capability,capacitat,noun,
caption,llegenda,noun,
cart,cistella,noun,
"case sensitive","distingeix entre majúscules i minúscules",expression,
checkbox,"casella de selecció",noun,
choose,triar,verb,
clear,netejar,verb,
click,clic,noun,
click,"fer clic",verb,
click,"clicar (termcat)",verb,
clipboard,porta-retalls,noun,
collapse,reduir,verb,
contributor,"col·laborador, -a",noun,
cookie,galeta,noun,
copyright,copyright,noun,
crop,escapçar,verb,
cross-sell,"venda creuada",noun,
Customizer,Personalitzador,noun,
dashboard,tauler,noun,
decrypt,desxifrar,verb,
decryption,desxifratge,noun,
default,"valor per defecte",noun,
default,"per defecte, predeterminat -ada",noun,
delay,retard,noun,
delay,retardar,verb,
delete,suprimir,verb,
deprecate,"marcar com a obsolet, -a",noun,
deprecated,"obsolet, -a",adjective,
deprecated,"marcar com a obsolet, -a",verb,
destination,destinació,noun,
discard,descartar,verb,
dismiss,descartar,verb,
download,baixada,noun,
download,baixar,verb,
downtime,"temps d'inactivitat",noun,
dropdown,desplegable,noun,
duotone,bitò,noun,
email,"correu electrònic",noun,
"email address","adreça electrònica",noun,
embed,incrustar,verb,
encription,xifratge,noun,
encrypt,xifrar,verb,
enter,retorn,noun,"La tecla retorn"
enter,introduir,verb,
event,esdeveniment,noun,
excerpt,extracte,noun,
fallback,alternativa,noun,
FAQ,PMF,noun,"Sigles de «preguntes més freqüents»"
favorite,"preferit, -da",adjective,
favourite,"preferit, -da",adjective,
feature,funció,noun,
feature,característica,noun,
featured,"destacat, -da",adjective,
fee,quota,noun,
feed,canal,noun,
fetch,recollir,verb,
file,fitxer,noun,
font,"tipus de lletra",noun,
"front end",frontal,noun,
"front page",portada,noun,
frontend,frontal,noun,
funnel,embut,noun,
"get involved",impliqueu-vos,expression,
gradient,degradat,noun,
grid,graella,noun,
guidelines,directrius,noun,
hash,,verb,"No traduirem hash. Si fa referència a la funció matemàtica ho traduirem com a ""funció hash""."
header,capçalera,noun,
heading,capçalera,noun,
height,alçada,noun,
"hero section","secció de portada",noun,
hide,amagar,verb,
home,"pàgina d'inici",noun,
honeypot,esquer,noun,
hook,ganxo,noun,
hosting,allotjament,noun,
hover,"en passar el ratolí",verb,
howdy,hola,interjection,
inbox,"bústia d’entrada",noun,TERMCAT
invalid,"no vàlid, -a",adjective,
item,"element / article",noun,"Només s'utilitza «article» a les botigues online"
layout,disseny,noun,
"lazy load","càrrega diferida",noun,
"Learn more","Més informació",expression,
legacy,"antic, -ga",adjective,
length,longitud,noun,
locale,"configuració regional",noun,
location,ubicació,noun,
lock,bloqueig,noun,
lock,bloquejar,verb,
lockout,bloqueig,noun,
log,registre,noun,
logo,logotip,noun,
"make sure","assegureu-vos que",verb,
manage,gestionar,verb,
manager,"gestor, -a",noun,
media,mèdia,noun,"media library » mediateca"
"media library",mediateca,noun,
membership,afiliació,noun,
merge,fusionar,verb,
modal,"finestra emergent",noun,
"move to trash","moure a la paperera",verb,
multisite,multilloc,noun,
newsletter,butlletí,noun,
notification,notificació,noun,
off,"inactiu, -va",adjective,
offset,desplaçament,noun,
OK,d'acord,interjection,
onboarding,"posada en marxa",noun,
oops,vaja,interjection,
overlay,"superposat, -da",adjective,
overlay,superposar,verb,
overlay,superposició,noun,
overview,resum,noun,
padding,separació,noun,
panel,quadre,noun,
path,camí,noun,
permalink,"enllaç permanent",noun,
pingback,retroping,noun,
placeholder,"espai reservat",noun,
"plain text","text sense format",noun,
please,"	-",expression,"Es tracta d’una «expressió innecessària» que no traduirem (https://www.softcatala.org/guia-estil-de-softcatala/aspectes-linguistics/)"
plugin,extensió,noun,
pop-up,"finestra emergent",noun,
popup,"finestra emergent",noun,
post,entrada,noun,
"post type","tipus de contingut",noun,
preview,previsualització,noun,
preview,previsualitzar,verb,
previous,anterior,adjective,
primary,principal,adjective,
privacy,privadesa,noun,
prompt,indicació,noun,"Quan fa referència a una IA"
"radio button","botó d’opció",noun,
rating,valoració,noun,
refactor,refacció,noun,
refactor,refer,verb,
referer,referent,noun,
referrer,referent,noun,
refresh,actualitzar,verb,
regular,normal,adjective,
remove,eliminar,verb,
rename,"canviar el nom",verb,
replace,reemplaçar,verb,
request,sol·licitud,noun,
reset,reinicialitzar,verb,
restore,restaurar,verb,
resume,reprendre,verb,
retrieve,recuperar,verb,
role,rol,noun,
rotate,girar,verb,
sanitization,sanejament,noun,
sanitize,sanejar,verb,
save,desar,verb,
schedule,planificar,verb,
search,cerca,noun,
search,cercar,verb,
setting,paràmetre,noun,
settings,configuració,noun,
settings,paràmetres,noun,
short-code,"codi de substitució",noun,
shortcode,"codi de substitució",noun,
shortcut,drecera,noun,
skip,ometre,verb,"A vegades ""skip"" no es tradueix literalment. Per exemple, en casos com ""Skip to content"" diem ""Vés al contingut"""
slider,"control lliscant",noun,
slug,àlies,noun,
snippet,fragment,noun,
"something is wrong","s’ha produït un error",expression,
"something went wrong","s’ha produït un error",expression,
sorry,"	-",expression,"Es tracta d’una «expressió innecessària» que no traduirem (https://www.softcatala.org/guia-estil-de-softcatala/aspectes-linguistics/) "
spacing,espaiat,noun,
spam,brossa,noun,
status,estat,noun,
sticky,"fixat, -da",adjective,
storage,emmagatzematge,noun,
"street address","adreça postal",noun,
submission,tramesa,noun,
submit,trametre,verb,
successfully,correctament,adverb,
suggestion,suggeriment,noun,
tag,etiqueta,noun,
tagline,lema,noun,
"take over","prendre el control",verb,
"template part","secció de plantilla",noun,
timezone,"zona horària",noun,
token,testimoni,noun,
trackback,retroenllaç,noun,
transient,"dada transitòria",noun,
trash,paperera,noun,
trash,"moure a la paperera",verb,
troubleshooting,"resolució de problemes",noun,
"try again","torneu-ho a provar",expression,
"try it again","torneu-ho a provar",expression,
"unable to","no s'ha pogut",expression,
unlock,desbloquejar,verb,
unsubscribe,"cancel·lar la subscripció",verb,
upload,pujar,verb,
upsell,"venda dirigida",noun,
URL,"URL és masculí",noun,
usage,ús,noun,
use,utilitzar,verb,
venue,recinte,noun,
viewport,"àrea de visualització",noun,
warning,avís,noun,
website,"lloc web",noun,
welcome,"us donem la benvinguda",expression,
"what's new",novetats,expression,
widget,giny,noun,
width,amplada,noun,
wizard,assistent,noun,
"you should","«És recomanable que» + subjuntiu",expression,https://www.softcatala.org/guia-estil-de-softcatala/aspectes-linguistics/
your,,adjective,"Si no hi ha dubtes de l’objecte de què es parla, no l’utilitzarem. Si convé, primer cal intentar recórrer a estructures amb el verb «tenir» sense haver d’utilitzar el possessiu. (https://www.softcatala.org/guia-estil-de-softcatala/aspectes-linguistics/)"
